Video_ID,Title,Views,Likes,Comments,Sponsored,Sentiment_Score,Category
Y4yNdQov204,Favorite Korean Skincare Products 2024 | Dermatologist Picks,173021,6018,311,True,0.55,Howto & Style
02IV6GM8M4s,UPDATED: Skin Care Routine,45202,2685,274,True,0.59,Howto & Style
rZzLemjD0XU,Dermatologist Explains How to Layer Products in Your Morning Skincare Routine | Dr. Sam Ellis,228955,7537,323,True,0.46,People & Blogs
zDXrQvPyczM,Do You NEED these Facial Cleansing Devices? | LUNA 3 vs LUNA 4 review,58171,590,51,True,0.51,Howto & Style
Nem6c1oxt4I,Foreo Devices - Are They Worth It? Which One Should You Buy?,46641,458,55,True,0.63,Howto & Style
87MWQ8QcjcA,FOREO LUNA 4 Facial Cleansing & Firming Massage REVIEW + DEMO,22441,213,23,True,0.59,Entertainment
l5l4WouuYs8,SUNDAY RESET VLOG | full body pamper routine | preparing for the week | cleaning my space,1469231,61736,1406,True,0.54,Howto & Style
0XDiG5lL0Dw,ULTIMATE Skincare Routine for GLASS Skin,3984044,143772,1643,False,0.36,People & Blogs
k9Yo5vYv-B4,MY UPDATED SKINCARE ROUTINE | unsponsored skincare for acne,3351380,126676,1928,False,0.26,Howto & Style
eoS87PBHgEg,how I prevent acne & get glowy skin (SKINCARE ROUTINE),127947,5964,223,False,0.43,Entertainment
s1wBdcNXdCM,My simple BUT EFFECTIVE skincare routine!,1558102,53885,709,False,0.43,Entertainment
WhXh8wu_4fc,"2023 skincare routine | GLOWY, drugstore, skin cycling !!!",606213,17878,197,False,0.51,People & Blogs
Ved5lLGcLIE,"How I repair my skin barrier in 4 days (at home, with affordable skincare routine)",2284604,45603,859,False,0.29,People & Blogs
w95UOBSoheM,I used FOREO for 7 DAYS and this is what happened…,626984,7433,340,False,0.53,Howto & Style
